,AL,AZ,AR,CO,CT,FL,GA,IL,IN,IA,KS,LA,MD,MI,MN,MS,MO,NE,NV,NJ,NM,NY,NC,OH,OK,PA,SC,TN,TX,UT,VA,WA,WI
171,6,3,4,3,0,15,10,5,7,3,3,5,0,8,4,4,6,2,1,4,1,6,8,8,5,10,5,7,19,4,4,2,4
172,7,3,4,2,0,15,10,5,6,3,3,5,0,8,4,4,6,2,1,4,1,6,8,8,5,10,5,7,19,3,4,2,4
173,7,3,4,2,0,15,10,5,6,3,3,5,0,8,4,4,6,2,2,4,1,6,8,8,5,10,5,7,19,3,4,2,4
174,6,3,4,2,0,15,10,5,6,3,3,5,1,8,4,3,6,2,1,3,1,6,8,8,5,10,5,7,19,4,4,2,4
175,6,4,4,2,0,15,10,5,6,2,3,5,1,8,4,3,6,2,1,3,1,5,8,8,5,10,5,7,19,4,5,2,4
176,6,4,4,2,0,15,10,5,6,2,3,5,1,8,3,4,6,2,1,3,1,5,8,8,5,10,5,7,19,4,5,2,4
177,6,4,4,2,0,15,10,5,6,2,3,5,1,8,3,3,6,2,2,3,1,5,8,8,5,10,5,7,19,4,5,2,4
178,6,4,4,2,0,15,10,5,6,2,3,5,1,8,3,3,6,3,1,3,1,4,8,8,5,10,5,7,20,4,5,2,5
179,6,4,4,2,0,15,10,5,6,3,2,5,1,8,3,3,6,2,2,3,1,4,8,8,5,11,5,7,20,3,5,2,5
180,6,5,4,2,0,15,10,5,6,3,3,5,1,8,3,3,6,3,1,3,1,4,8,8,5,11,5,7,21,3,5,2,5
181,6,4,4,2,0,15,9,5,6,4,3,5,1,8,4,3,6,3,1,3,1,4,8,9,5,11,5,7,21,3,5,2,5
182,6,4,4,3,0,15,8,5,6,3,3,5,1,8,4,3,6,3,1,3,1,4,8,8,5,11,5,7,21,3,5,2,5
183,6,5,4,3,0,15,8,5,6,2,3,5,1,8,4,3,6,3,1,3,1,4,8,8,5,11,5,7,21,3,5,2,5
184,6,5,4,3,0,15,8,5,6,2,3,5,1,7,4,3,6,3,1,3,1,5,8,9,5,11,5,7,21,3,5,2,5
185,6,5,4,3,0,16,7,5,6,2,3,5,1,7,4,3,6,3,1,3,1,5,9,9,5,11,5,7,21,3,5,2,4
186,6,5,4,3,0,16,8,5,6,2,3,5,1,8,4,3,6,2,1,3,1,5,9,9,5,11,5,7,21,3,5,2,4
187,6,6,4,3,0,16,8,5,7,2,3,5,1,9,4,3,6,2,1,2,1,5,9,8,5,11,5,7,21,3,5,2,4
188,6,6,3,3,0,15,8,5,7,2,3,5,1,8,4,3,6,2,1,2,1,5,9,8,5,11,5,7,21,3,5,2,4
189,6,6,3,3,0,15,8,5,7,2,3,5,1,8,4,3,6,2,1,2,1,5,9,8,5,11,5,7,21,4,5,2,4
190,6,6,4,3,0,15,8,5,7,2,3,5,1,8,4,3,6,2,1,2,1,4,9,8,5,11,5,7,21,4,4,2,4
191,6,6,4,3,0,15,8,5,7,3,3,5,2,8,4,3,6,2,1,2,1,4,9,8,5,11,5,7,21,4,4,2,4
192,7,6,4,3,0,15,8,5,7,2,3,5,1,8,4,3,6,2,1,2,1,5,9,8,5,11,5,7,21,4,5,2,4
193,7,6,4,3,0,15,9,5,7,2,3,5,1,8,4,3,7,2,1,2,1,5,9,9,4,11,5,7,21,4,5,2,4
194,7,6,4,3,0,14,9,5,7,2,3,5,1,8,4,4,6,3,1,2,1,5,10,10,5,11,4,7,21,4,5,2,4
195,7,6,4,3,0,14,9,5,7,2,3,5,1,8,4,3,6,2,1,2,1,5,10,11,5,11,4,7,21,4,5,2,4
